LocationID,StateAbbr,StateDesc,LocationName,TotalPopulation,Geolocation,States,Counties
55103,WI,Wisconsin,Richland,17258,POINT (-90.4356927 43.3761994),41.0,883.0
55107,WI,Wisconsin,Rusk,14022,POINT (-91.1367448 45.472734),41.0,884.0
55079,WI,Wisconsin,Milwaukee,945016,POINT (-87.8623115 42.9126431),41.0,3030.0
55093,WI,Wisconsin,Pierce,42700,POINT (-92.4262793 44.7253365),41.0,3035.0
55139,WI,Wisconsin,Winnebago,171631,POINT (-88.6681488 44.0857068),41.0,3077.0
55021,WI,Wisconsin,Columbia,57668,POINT (-89.3304721 43.4718818),41.0,2971.0
55039,WI,Wisconsin,Fond du Lac,102902,POINT (-88.493284 43.7547219),41.0,871.0
55017,WI,Wisconsin,Chippewa,64737,POINT (-91.2835054 45.0690918),41.0,866.0
55001,WI,Wisconsin,Adams,20498,POINT (-89.7672276 43.9737568),41.0,863.0
55089,WI,Wisconsin,Ozaukee,90043,POINT (-87.8475669 43.5018446),41.0,3033.0
55035,WI,Wisconsin,Eau Claire,105260,POINT (-91.2864137 44.7263547),41.0,870.0
55043,WI,Wisconsin,Grant,51021,POINT (-90.6942288 42.8700275),41.0,2995.0
55119,WI,Wisconsin,Taylor,20318,POINT (-90.5048529 45.2116558),41.0,3151.0
55013,WI,Wisconsin,Burnett,15557,POINT (-92.3757305 45.8668974),41.0,2969.0
55059,WI,Wisconsin,Kenosha,169671,POINT (-87.8763984 42.5858816),41.0,3000.0
55009,WI,Wisconsin,Brown,264610,POINT (-87.9961303 44.4740244),41.0,2937.0
55101,WI,Wisconsin,Racine,195802,POINT (-87.7715988 42.7803923),41.0,3037.0
55005,WI,Wisconsin,Barron,45090,POINT (-91.8528921 45.4371917),41.0,864.0
55087,WI,Wisconsin,Outagamie,188766,POINT (-88.4649883 44.4182258),41.0,3032.0
55053,WI,Wisconsin,Jackson,20630,POINT (-90.7995104 44.3245897),41.0,874.0
55045,WI,Wisconsin,Green,36603,POINT (-89.6050743 42.6755218),41.0,872.0
55027,WI,Wisconsin,Dodge,87336,POINT (-88.7019394 43.4296276),41.0,868.0
55117,WI,Wisconsin,Sheboygan,115240,POINT (-87.7315164 43.741232),41.0,3070.0
55073,WI,Wisconsin,Marathon,135593,POINT (-89.757823 44.8980363),41.0,877.0
55131,WI,Wisconsin,Washington,136445,POINT (-88.2329166 43.391156),41.0,887.0
55037,WI,Wisconsin,Florence,4298,POINT (-88.4069879 45.8718277),41.0,2974.0
55063,WI,Wisconsin,La Crosse,118502,POINT (-91.1117584 43.9082222),41.0,3002.0
55011,WI,Wisconsin,Buffalo,13033,POINT (-91.761294 44.3856333),41.0,2938.0
55141,WI,Wisconsin,Wood,72560,POINT (-90.0388252 44.4614126),41.0,3078.0
55029,WI,Wisconsin,Door,27889,POINT (-87.0486828 45.0934165),41.0,
55115,WI,Wisconsin,Shawano,40786,POINT (-88.7558134 44.7896407),41.0,3069.0
55031,WI,Wisconsin,Douglas,43702,POINT (-91.8924773 46.4632185),41.0,2973.0
55055,WI,Wisconsin,Jefferson,85038,POINT (-88.7739847 43.0138045),41.0,2998.0
55041,WI,Wisconsin,Forest,8960,POINT (-88.7733265 45.6668806),41.0,2975.0
55111,WI,Wisconsin,Sauk,64449,POINT (-89.9433184 43.428001),41.0,3068.0
55033,WI,Wisconsin,Dunn,45452,POINT (-91.8976451 44.9477513),41.0,869.0
54103,WV,West Virginia,Wetzel,14904,POINT (-80.6353994 39.59818),42.0,2932.0
54019,WV,West Virginia,Fayette,42062,POINT (-81.0860508 38.0309328),42.0,2803.0
54095,WV,West Virginia,Tyler,8533,POINT (-80.8772193 39.465634),42.0,2897.0
54065,WV,West Virginia,Morgan,17873,POINT (-78.2565175 39.5573454),42.0,2864.0
54077,WV,West Virginia,Preston,33380,POINT (-79.6688649 39.4690296),42.0,3186.0
54071,WV,West Virginia,Pendleton,6932,POINT (-79.3406175 38.6744501),42.0,2866.0
54059,WV,West Virginia,Mingo,22951,POINT (-82.1589891 37.7211608),42.0,3149.0
54041,WV,West Virginia,Lewis,15805,POINT (-80.4954773 38.9888773),42.0,856.0
54057,WV,West Virginia,Mineral,26722,POINT (-78.9566899 39.4047806),42.0,2862.0
54061,WV,West Virginia,Monongalia,106819,POINT (-80.0590736 39.6336448),42.0,858.0
54053,WV,West Virginia,Mason,26335,POINT (-82.0290067 38.770914),42.0,2837.0
54015,WV,West Virginia,Clay,8341,POINT (-81.0818663 38.4598259),42.0,2801.0
54075,WV,West Virginia,Pocahontas,8190,POINT (-80.0101207 38.332606),42.0,2889.0
54049,WV,West Virginia,Marion,55962,POINT (-80.2434018 39.5058387),42.0,2835.0
54013,WV,West Virginia,Calhoun,6945,POINT (-81.1154775 38.8441591),42.0,853.0
54105,WV,West Virginia,Wirt,5705,POINT (-81.3829749 39.0200337),42.0,862.0
54011,WV,West Virginia,Cabell,91589,POINT (-82.2433966 38.4195778),42.0,2800.0
54101,WV,West Virginia,Webster,8058,POINT (-80.4490515 38.483459),42.0,861.0
54073,WV,West Virginia,Pleasants,7438,POINT (-81.1611724 39.3681331),42.0,2867.0
54035,WV,West Virginia,Jackson,28453,POINT (-81.6777168 38.8342339),42.0,2830.0
54029,WV,West Virginia,Hancock,28571,POINT (-80.5701643 40.5169584),42.0,2807.0
54085,WV,West Virginia,Ritchie,9499,POINT (-81.0663167 39.1771118),42.0,2893.0
54099,WV,West Virginia,Wayne,39054,POINT (-82.4226659 38.1436416),42.0,2931.0
54003,WV,West Virginia,Berkeley,122125,POINT (-78.0377535 39.4479382),42.0,2747.0
54067,WV,West Virginia,Nicholas,24340,POINT (-80.7975148 38.2914318),42.0,859.0
54001,WV,West Virginia,Barbour,16444,POINT (-79.9969466 39.1397248),42.0,852.0
54109,WV,West Virginia,Wyoming,20123,POINT (-81.5490317 37.6036601),42.0,2934.0
54079,WV,West Virginia,Putnam,56428,POINT (-81.906109 38.5105179),42.0,2890.0
54039,WV,West Virginia,Kanawha,176253,POINT (-81.5235156 38.3280675),42.0,2832.0
54089,WV,West Virginia,Summers,12444,POINT (-80.856325 37.6559986),42.0,860.0
54021,WV,West Virginia,Gilmer,7811,POINT (-80.8494132 38.9158671),42.0,854.0
54081,WV,West Virginia,Raleigh,72920,POINT (-81.2646719 37.7624694),42.0,2891.0
54069,WV,West Virginia,Ohio,41182,POINT (-80.6199004 40.100323),42.0,2865.0
54027,WV,West Virginia,Hampshire,23190,POINT (-78.6119886 39.3121395),42.0,2806.0
54031,WV,West Virginia,Hardy,13633,POINT (-78.8417292 39.0113612),42.0,2808.0
54055,WV,West Virginia,Mercer,58258,POINT (-81.106456 37.4034477),42.0,2838.0
54043,WV,West Virginia,Lincoln,20043,POINT (-82.0776231 38.1717696),42.0,2833.0
54047,WV,West Virginia,McDowell,16916,POINT (-81.658204 37.3827604),42.0,857.0
54045,WV,West Virginia,Logan,31688,POINT (-81.940853 37.8305905),42.0,2834.0
54009,WV,West Virginia,Brooke,21674,POINT (-80.578691 40.2726454),42.0,2760.0
54007,WV,West Virginia,Braxton,13702,POINT (-80.7316597 38.6993304),42.0,2749.0
